KOD;NAZEV;REGSOUDR_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Hlavní město Praha;19;CZ010;23.11.2016 00:00:00;;01.01.2000 00:00:00
116;Jihomoravský kraj;60;CZ064;19.06.2020 00:00:00;;01.01.2000 00:00:00
35;Jihočeský kraj;35;CZ031;29.07.2020 00:00:00;;01.01.2000 00:00:00
51;Karlovarský kraj;43;CZ041;11.12.2020 00:00:00;;01.01.2000 00:00:00
108;Kraj Vysočina;60;CZ063;27.01.2021 00:00:00;;01.01.2000 00:00:00
86;Královéhradecký kraj;51;CZ052;24.02.2021 00:00:00;;01.01.2000 00:00:00
78;Liberecký kraj;51;CZ051;24.02.2021 00:00:00;;01.01.2000 00:00:00
132;Moravskoslezský kraj;86;CZ080;17.06.2019 00:00:00;;01.01.2000 00:00:00
124;Olomoucký kraj;78;CZ071;17.06.2019 00:00:00;;01.01.2000 00:00:00
94;Pardubický kraj;51;CZ053;22.12.2020 00:00:00;;01.01.2000 00:00:00
43;Plzeňský kraj;35;CZ032;02.01.2021 00:00:00;;01.01.2000 00:00:00
27;Středočeský kraj;27;CZ020;27.01.2021 00:00:00;;01.01.2000 00:00:00
141;Zlínský kraj;78;CZ072;02.01.2021 00:00:00;;01.01.2000 00:00:00
60;Ústecký kraj;43;CZ042;06.10.2020 00:00:00;;01.01.2000 00:00:00
